corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,1771.2560203182395,-336.3554643885662,-1.0,-1.0,0,0
1,1835.2598996525528,-284.3912123100847,-1.0,-1.0,0,0
2,1910.258919264778,-223.50009131393483,-1.0,-1.0,0,0
3,1999.3525682030265,-151.16565033674775,-1.0,-1.0,0,0
4,2106.9261354601163,-63.827507335592976,-1.0,-1.0,0,0
5,2239.3946166740125,43.72262277913111,-1.0,-1.0,0,0
6,2406.5306716186888,179.41908650725904,-1.0,-1.0,0,0
7,2623.992143594723,355.9743651036623,-1.0,-1.0,0,0
8,2918.5373748869442,595.1133486555234,-1.0,-1.0,0,0
9,3339.981250550735,937.2803550885943,-1.0,-1.0,0,0
10,937.2796808559493,385.8640976726818,153.3004150390625,153.40118408203125,1,1
11,936.5130783124802,428.4518013103746,151.1556396484375,151.347900390625,1,1
12,935.6976227788977,473.7534754175144,141.9561004638672,141.86907958984375,1,1
13,934.8284907069714,522.0370865489296,135.09164428710938,273.84210205078125,1,1
14,933.9002019273624,573.6070790737297,138.25848388671875,-1.0,1,0
15,932.9065039823865,628.8108009326747,143.9469757080078,-1.0,1,0
16,931.8402311154427,688.0463373148483,139.61192321777344,-1.0,1,0
17,930.6931311932191,751.7721257911328,114.41820526123047,13.25823974609375,1,1
18,929.4556517177051,820.5188441654817,113.52364349365234,49.65997314453125,1,1
19,928.1166731838046,894.9042234794546,109.2850112915039,-1.0,1,0
20,723.1227159229851,571.3230155191692,74.24378967285156,220.42684936523438,1,1
21,718.5379960866408,601.3392161179765,77.68273162841797,117.3134765625,1,1
22,713.7739260785852,632.5296238491005,82.9285888671875,74.4791259765625,1,1
23,708.8197719175533,664.9645141811388,87.8193130493164,86.6207275390625,1,1
24,703.6639256246222,698.719884652944,93.07735443115234,14.569091796875,1,1
25,698.2938144199661,733.8780493632614,98.4734115600586,36.4456787109375,1,1
26,692.6957983586772,770.5283091499033,107.29420471191406,118.323974609375,1,1
27,686.8550546511802,808.7677089449929,113.8552017211914,114.4193115234375,1,1
28,680.7554466027375,848.7018958291652,114.87545013427734,143.27679443359375,1,1
29,674.3793747320626,890.4460937593036,120.53076171875,7.35125732421875,1,1
30,625.0075881612112,656.2902516992501,91.75555419921875,90.2218017578125,1,1
31,620.3170587563012,679.2433681046153,94.79423522949219,-1.0,1,0
32,615.4941551921328,702.8442577620444,98.32484436035156,92.73291015625,1,1
33,610.5331935519,727.120734931469,101.90705871582031,106.86019897460938,1,1
34,605.428159783614,752.1022293900969,105.6266098022461,106.3955078125,1,1
35,600.1726853781538,777.8199054519233,109.00005340576172,109.22698974609375,1,1
36,594.7600208649258,804.3067916667845,112.7286605834961,111.77557373046875,1,1
37,589.1830068931989,831.5979223339099,116.56147003173828,-17.858154296875,1,0
38,583.4340426385829,859.7304921048944,120.3943862915039,56.30877685546875,1,1
39,577.5050512414797,888.7440251107128,124.44132232666016,125.56927490234375,1,1
40,568.7234112929397,705.0320824267139,101.08202362060547,97.00051879882812,1,1
41,564.4292981279644,723.5708680910969,103.67301940917969,103.14739990234375,1,1
42,560.0404022166077,742.5188551324211,106.322998046875,106.9635009765625,1,1
43,555.5535503692474,761.889743022502,109.02799224853516,109.49053955078125,1,1
44,550.9654261526499,781.69784965249,111.78612518310547,111.431884765625,1,1
45,546.2725617148611,801.9581466269121,114.64369201660156,110.83609008789062,1,1
46,541.4713290437535,822.6862970027561,117.59330749511719,63.19268798828125,1,1
47,536.5579306129254,843.8986956735218,120.5818862915039,-1.0,1,0
48,531.5283893642625,865.6125126170656,123.66905212402344,-1.0,1,0
49,526.378537971628,887.8457392469994,126.89117431640625,-1.0,1,0
50,532.2191949994562,736.6445609316402,106.81448364257812,135.41180419921875,1,1
51,528.358569745304,752.1804454640014,109.02149963378906,119.17550659179688,1,1
52,524.427974852323,767.997901026454,111.25816345214844,118.1776123046875,1,1
53,520.4254907398158,784.1046523739573,113.4360580444336,125.88516235351562,1,1
54,516.3491269621034,800.5087094355242,115.73529815673828,117.33206176757812,1,1
55,512.1968189079196,817.2183805964867,118.12311553955078,121.3616943359375,1,1
56,507.96642431359487,834.2422867301019,120.49896240234375,-1.0,1,0
57,503.65571957765775,851.5893760282904,122.91241455078125,-1.0,1,0
58,499.26239586353336,869.2689396851123,125.47345733642578,-1.0,1,0
59,494.7840549759874,887.2906284907364,128.15109252929688,-1.0,1,0
60,506.62636753409356,758.8078283642158,110.68229675292969,362.47454833984375,1,1
61,503.15190271656246,772.1731687331683,112.4823989868164,227.4290771484375,1,1
62,499.62402292446785,785.7439822766478,114.35614013671875,140.5733642578125,1,1
63,496.04148684676267,799.5250439875,116.44355010986328,117.61859130859375,1,1
64,492.40301440968034,813.521277968425,118.36638641357422,118.82791137695312,1,1
65,488.7072852517634,827.7377632981346,120.30075073242188,108.2716064453125,1,1
66,484.95293712632815,842.179740176644,122.43073272705078,139.55130004882812,1,1
67,481.138564227306,856.8526163653186,124.54110717773438,152.3651123046875,1,1
68,477.2627154341358,871.7619739382993,126.84822082519531,-1.0,1,0
69,473.32389247110814,886.9135763630198,129.05641174316406,-1.0,1,0
