corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,-640.983720486643,936.5987754533807,-1.0,-1.0,0,0
1,-238.9224081300093,845.0602428882916,-1.0,-1.0,0,0
2,40.024747854798946,781.5514880359844,149.7260284423828,-1.0,1,0
3,244.89731041978897,734.9075231388751,131.206787109375,135.6747283935547,1,1
4,401.74266264117443,699.1980605749542,114.42117309570312,-164.52069091796875,1,0
5,525.6771369487158,670.9815185608967,103.3045654296875,105.81527709960938,1,1
6,626.0756982028927,648.1234700832018,94.86857604980469,95.02105712890625,1,1
7,709.0613671909917,629.229868212936,105.4493179321289,105.26531982421875,1,1
8,778.8027264235379,613.3516389801287,103.96665954589844,106.01513671875,1,1
9,838.2360999847473,599.8202604714694,110.76134490966797,110.6474609375,1,1
10,-752.014906883376,1107.1136521835836,-1.0,-1.0,0,0
11,-285.5219798869791,971.8906189835363,-1.0,-1.0,0,0
12,25.61633451218633,881.7004699309012,159.02052307128906,-1.0,1,0
13,247.92808446486737,817.2586158214087,141.79750061035156,-1.0,1,0
14,414.70024699346504,768.916108646327,123.12854766845703,124.01583862304688,1,1
15,544.4346618941195,731.309791212418,110.04798889160156,104.79019165039062,1,1
16,648.2365189517405,701.2205848154307,100.61212921142578,-35.7255859375,1,0
17,733.1747840375133,676.5993972797479,104.13277435302734,-21.56463623046875,1,0
18,803.9631852594176,656.0798528779917,96.37939453125,-27.0242919921875,1,0
19,863.8656888829796,638.7158206119302,88.50395202636719,89.968017578125,1,1
20,-896.6150212256534,1329.1816267087315,-1.0,-1.0,0,0
21,-343.0652089689286,1128.506422756602,-1.0,-1.0,0,0
22,8.441706903972507,1001.0766585845134,165.0026397705078,-1.0,1,0
23,251.4509240950985,912.9799360451876,154.7005615234375,-1.0,1,0
24,429.4803108460951,848.4399746818555,132.6394805908203,49.622589111328125,1,1
25,565.5192954379521,799.1225503526597,118.1958999633789,116.20440673828125,1,1
26,672.8566420332212,760.2101644340892,105.904296875,-26.572021484375,1,0
27,759.7088387583066,728.724141124928,99.44281768798828,-8.3555908203125,1,0
28,831.4293680752908,702.7237134677229,89.95606994628906,-10.66204833984375,1,0
29,891.655787728845,680.8901787438806,84.14755249023438,8.74346923828125,1,1
30,-1092.7190042906836,1630.346079542312,-1.0,-1.0,0,0
31,-415.9200825288893,1326.7960349910595,-1.0,-1.0,0,0
32,-12.380335907458546,1145.8050432408547,-1.0,-1.0,0,0
33,255.59625177246562,1025.61527562541,168.44407653808594,-1.0,1,0
34,446.4964358670552,939.9949273602124,144.00485229492188,142.00714111328125,1,1
35,589.3927384552846,875.9047262352569,126.71186828613281,127.4378662109375,1,1
36,700.369500080383,826.1307093858202,112.81539154052734,-56.75042724609375,1,0
37,789.0472886779178,786.3579706683634,100.63304138183594,-18.27880859375,1,0
38,861.5334424204156,753.8473172225703,91.65888214111328,-68.3980712890625,1,0
39,921.8916060873885,726.7761699718511,84.1872329711914,-13.1744384765625,1,0
40,-1373.8063148363142,2062.0227071958443,-1.0,-1.0,0,0
41,-511.1358682515627,1585.9454962005327,-1.0,-1.0,0,0
42,-38.14974574834317,1324.9212372470909,-1.0,-1.0,0,0
43,260.5450482692784,1160.0821784411532,-1.0,-1.0,0,0
44,466.29758531645416,1046.5346535660146,157.43991088867188,-1.0,1,0
45,616.6474770738065,963.5618828809171,136.3743133544922,146.6346435546875,1,1
46,731.3167348361485,900.2799881104152,120.86383819580078,140.87200927734375,1,1
47,821.6595359813807,850.4230016180643,107.5765380859375,140.1297607421875,1,1
48,894.6745979896606,810.1285795485857,97.08086395263672,-26.57684326171875,1,0
49,954.9108650094053,776.8863210278962,88.71158599853516,88.80615234375,1,1
50,-1810.400260967876,2732.5168748414003,-1.0,-1.0,0,0
51,-640.8734526079566,1939.0531750312696,-1.0,-1.0,0,0
52,-70.86750048228674,1552.3334962222975,-1.0,-1.0,0,0
53,266.5559803654198,1323.4090443820796,-1.0,-1.0,0,0
54,489.6284359694028,1172.0658732088748,-1.0,-1.0,0,0
55,648.0566212531228,1064.5805097688437,148.41334533691406,112.52484130859375,1,1
56,766.3842139393723,984.301332916009,129.57217407226562,129.24847412109375,1,1
57,858.125931705128,922.0593028188661,115.10112762451172,130.73931884765625,1,1
58,931.3368486087622,872.3894666273277,103.4120864868164,100.58551025390625,1,1
59,991.116465359559,831.8320757738112,93.99552917480469,377.80078125,1,1
60,-2580.8943816889855,3915.7944230670014,-1.0,-1.0,0,0
61,-828.064456100405,2448.532221285435,-1.0,-1.0,0,0
62,-113.78179360677942,1850.6191341313138,-1.0,-1.0,0,0
63,274.0120951339557,1526.0038895347197,-1.0,-1.0,0,0
64,517.5251308859262,1322.1635352687613,-1.0,-1.0,0,0
65,684.648414126786,1182.267660057361,-1.0,-1.0,0,0
66,806.4534592158099,1080.3068616727649,-1.0,144.18414306640625,0,1
67,899.1726144960103,1002.6933351476101,123.19017028808594,147.73162841796875,1,1
68,972.1128266925842,941.6364038483439,110.16654968261719,-112.68499755859375,1,0
69,1030.9930095307477,892.3488686167581,99.44866180419922,-38.5379638671875,1,0
