corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,544.9893736984978,826.1237850175572,122.78224182128906,120.00506591796875,1,1
1,535.253248168772,820.4755034008434,122.78726959228516,121.97921752929688,1,1
2,520.8319033600808,812.1091551525053,122.62357330322266,121.8951416015625,1,1
3,497.27185326836616,798.4411105678711,122.50756072998047,142.02737426757812,1,1
4,451.85750705177986,772.0945915047132,122.09899139404297,-1.0,1,0
5,327.878586501091,700.1698966485861,122.21109008789062,121.91409301757812,1,1
6,-1384.5310782390407,-293.26142262766416,-1.0,-1.0,0,0
7,961.3944189687644,1067.6955432211666,125.3955307006836,-1.0,1,0
8,762.7908827230364,952.4783863176153,124.48857879638672,-250.985595703125,1,0
9,703.8573091319934,918.2888702410996,124.24238586425781,116.0513916015625,1,1
10,568.2927810615632,839.360525773599,122.87954711914062,122.4764404296875,1,1
11,562.9498695142383,836.2048078946548,122.78883361816406,122.42404174804688,1,1
12,554.9581209301085,831.4845905248594,122.69334411621094,119.88449096679688,1,1
13,541.6985170862791,823.6529862493519,122.71995544433594,120.06436157226562,1,1
14,515.4019576505589,808.1212818535408,122.52873229980469,122.05789184570312,1,1
15,438.24934313623396,762.5521417183211,121.79943084716797,97.63104248046875,1,1
16,-4156.500874161366,-1951.274445447939,-1.0,-1.0,0,0
17,763.2305380129145,954.4978548204596,124.730712890625,-280.80523681640625,1,0
18,677.7503345287438,904.0101377692898,124.2012710571289,86.2520751953125,1,1
19,649.9132284552855,887.568530500299,123.69969177246094,-1.0,1,0
20,592.5575057809078,853.1433115105782,123.03645324707031,138.3970947265625,1,1
21,592.0216313451333,852.7150741941421,123.02597045898438,138.16452026367188,1,1
22,591.2118072193521,852.0679134280034,123.00904846191406,135.39480590820312,1,1
23,589.8458254204357,850.9763062513647,122.97084045410156,135.3734130859375,1,1
24,587.0511497068946,848.7429762994578,122.92787170410156,124.0303955078125,1,1
25,578.1292138618068,841.6131234670589,122.56611633300781,122.0458984375,1,1
26,772.4648990446613,996.9140424038313,129.3975830078125,-450.39300537109375,1,0
27,609.4967183376468,866.6800702054703,123.48701477050781,121.5816650390625,1,1
28,602.6440711058084,861.2038633459185,123.34334564208984,120.87509155273438,1,1
29,600.229969556117,859.274664451125,123.26092529296875,116.71792602539062,1,1
30,617.8442853517545,867.5066421823396,123.03390502929688,-1.0,1,0
31,622.5735546420611,870.0659452052595,123.07471466064453,-1.0,1,0
32,629.7983062935809,873.9757096120948,123.15681457519531,-1.0,1,0
33,642.2016001663404,880.6879066882434,123.29991912841797,-1.0,1,0
34,668.4612742861536,894.8986566435224,123.60749816894531,-1.0,1,0
35,761.1788725720328,945.0739406048906,123.52954864501953,-177.213134765625,1,0
36,-30.242504064860693,516.7863982182224,-1.0,-1.0,0,0
37,486.7568035673411,796.5670175165499,122.93860626220703,102.72195434570312,1,1
38,535.8273994294028,823.1221820921141,123.10191345214844,120.42559814453125,1,1
39,554.3218944452755,833.1307085886948,122.96903228759766,122.34796142578125,1,1
40,644.219083996845,882.4879866148791,123.40657806396484,-1.0,1,0
41,654.721633826141,888.323295806629,123.51741027832031,-1.0,1,0
42,670.9502672284345,897.3400674669532,123.76023864746094,119.28997802734375,1,1
43,699.3428398027913,913.1152308714073,123.89078521728516,123.159912109375,1,1
44,761.7727602174654,947.8018445373355,123.90091705322266,-208.78338623046875,1,0
45,1011.0294654842495,1086.2910654397995,-1.0,-1.0,0,0
46,-242.7031917941893,389.7061581626622,-1.0,-1.0,0,0
47,386.4961885047887,739.2948758529415,122.87666320800781,121.8658447265625,1,1
48,475.99969338927025,789.0238115147724,122.60047149658203,-1.0,1,0
49,511.7744662550424,808.9005904236512,122.8604965209961,122.29940795898438,1,1
50,671.7536672564348,898.1281088834577,123.78369903564453,123.595458984375,1,1
51,688.5943084445563,907.560068640658,123.89701843261719,38.89874267578125,1,1
52,714.9323386727948,922.3112433982965,123.91893768310547,-182.766357421875,1,0
53,761.9570727457184,948.6484472146038,124.0128402709961,-219.20819091796875,1,0
54,869.8012074053389,1009.0488516170848,124.1993408203125,32.49700927734375,1,1
55,1372.4092476822989,1290.5451887566276,-1.0,-1.0,0,0
56,-340.93477649828105,330.95037845277886,-1.0,-1.0,0,0
57,303.0574553553225,691.63194318305,123.05228424072266,114.57240295410156,1,1
58,422.118892710277,758.3148368580509,122.575927734375,95.7044677734375,1,1
59,472.2316965072137,786.3815798907667,122.49933624267578,-1.0,1,0
60,700.5262540820335,914.4714387131883,123.98722839355469,121.00836181640625,1,1
61,724.3341782314035,927.8572481209453,123.91849517822266,-228.9837646484375,1,0
62,762.0468664696103,949.0608966979321,124.06526184082031,-224.03448486328125,1,0
63,830.8701549983921,987.7562242402001,123.90646362304688,-1.0,1,0
64,996.3263955304869,1080.7826337327406,-1.0,-1.0,0,0
65,1941.4515840688996,1612.1714923695583,-1.0,-1.0,0,0
66,-397.54196780092747,297.0916183381737,-1.0,-1.0,0,0
67,232.5346734210138,651.3470241753857,123.53689575195312,81.55500793457031,1,1
68,373.3402912414201,730.5138239291275,122.67472839355469,145.7921905517578,1,1
69,435.3861610676048,765.3986035857274,122.3621826171875,-1.0,1,0
