corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,127.95365053315516,905.5564530293381,177.3152618408203,-1.0,1,0
1,210.10094605366027,803.7468654170983,157.99337768554688,-1.0,1,0
2,281.5887953477878,715.1481062028726,138.45594787597656,-1.0,1,0
3,344.3655466039147,637.3454820686785,121.27384185791016,-1000.2174682617188,1,0
4,399.9319875777733,568.4789855543008,106.55615997314453,124.75692749023438,1,1
5,449.4628790706457,507.0926720426503,93.27381896972656,-603.2833251953125,1,0
6,493.89092600381275,452.0305898642552,81.40283203125,99.89166259765625,1,1
7,533.9660669086385,402.3632996245627,70.91260528564453,-1.0,1,0
8,570.2981503269908,357.3349830320507,30.513826370239258,34.06884765625,1,1
9,603.3881866894209,316.32471075483244,31.015907287597656,31.06231689453125,1,1
10,444.9038541824949,890.466540156713,154.36936950683594,42.217742919921875,1,1
11,499.5478409627084,798.937868293506,135.45628356933594,65.57049560546875,1,1
12,547.7124797473424,718.2621036122041,120.15448760986328,-5.8843994140625,1,0
13,590.4856928416784,646.6169763707907,106.04656219482422,24.8515625,1,1
14,628.7247532504015,582.5665543804482,91.23399353027344,92.98193359375,1,1
15,663.1143326585751,524.9640126437941,80.0406723022461,50.52154541015625,1,1
16,694.2078586666088,472.88235999084543,62.47288513183594,139.30682373046875,1,1
17,722.4575242413689,425.56417325169923,167.20391845703125,159.6109619140625,1,1
18,748.2364231251698,382.384520448903,30.41762924194336,70.22003173828125,1,1
19,771.8551205840384,342.82320479592585,29.26140594482422,86.16778564453125,1,1
20,705.3791607469702,878.0653817530516,133.68760681152344,-1.0,1,0
21,740.3979645111493,794.9362791532069,130.3339385986328,40.3414306640625,1,1
22,771.5940049657864,720.8818121552465,175.6802215576172,87.05999755859375,1,1
23,799.5608420600803,654.4929632996261,201.53976440429688,95.69842529296875,1,1
24,824.7752001278437,594.6380644024688,203.947998046875,5.03094482421875,1,1
25,847.6243668192171,540.3977558242796,201.1190643310547,199.4493408203125,1,1
26,868.4262271238093,491.0174288669965,193.02337646484375,113.09637451171875,1,1
27,887.4441431074504,445.8719036318804,187.14205932617188,-10.99908447265625,1,0
28,904.8981628422393,404.4388207920502,192.8188018798828,-9.62786865234375,1,0
29,920.9735733178107,366.27833833361285,184.09335327148438,-39.74615478515625,1,0
30,923.2390491817007,867.6931318000052,115.98355865478516,109.80157470703125,1,1
31,943.9422252772995,791.5545059099467,119.42840576171875,-141.47711181640625,1,0
32,962.5515565854879,723.116266868955,108.96666717529297,-17.3587646484375,1,0
33,979.3693993918657,661.2664600663726,82.9501953125,78.97406005859375,1,1
34,994.6425687658539,605.0973909461611,138.76431274414062,98.7635498046875,1,1
35,1008.5745318758516,553.8607825026992,149.1846160888672,150.0875244140625,1,1
36,1021.334524162395,506.9342493669598,155.23480224609375,151.31817626953125,1,1
37,1033.0644577843168,463.7958910961928,171.68055725097656,53.46966552734375,1,1
38,1043.8842219082437,424.0047996691383,30.302043914794922,78.4775390625,1,1
39,1053.89579527026,387.18593500501163,15.006465911865234,124.6209716796875,1,1
40,1108.150925407073,858.8895277346752,101.22604370117188,-1.0,1,0
41,1118.2251955972442,788.6588925255878,89.236572265625,90.043212890625,1,1
42,1127.3503767494324,725.0446299915734,78.60804748535156,10.495849609375,1,1
43,1135.6545548183421,667.1538161003702,68.82142639160156,-135.7508544921875,1,0
44,1143.2437598729882,614.2472847429112,60.241966247558594,-1.0,1,0
45,1150.2065175783807,565.7078980453252,52.07862854003906,-50.6719970703125,1,0
46,1156.6173182516422,521.0163625809254,13.895829200744629,6.9417724609375,1,1
47,1162.539292366656,479.732577657731,14.189827919006348,11.1068115234375,1,1
48,1168.0262965099473,441.48109352002956,14.699041366577148,-1.0,1,0
49,1173.1245559775546,405.9396603331257,15.025616645812988,-1.0,1,0
50,1267.0636657946532,851.3237354455758,89.10552215576172,104.3936767578125,1,1
51,1269.1335959077012,786.151634455858,78.44810485839844,-1.0,1,0
52,1271.0210200278652,726.7257656333538,68.54863739013672,-38.968994140625,1,0
53,1272.7490563518115,672.3182486315885,60.24686813354492,-7.5543212890625,1,0
54,1274.337076724046,622.3191576378335,52.98784637451172,78.5220947265625,1,1
55,1275.8014359696997,576.2135582065389,18.829557418823242,47.268798828125,1,1
56,1277.1560372304727,533.5637075611485,18.054750442504883,-1.0,1,0
57,1278.412774771803,493.9951127352357,17.438356399536133,3.667236328125,1,1
58,1279.5818841636,457.18550507267287,17.31713104248047,-1.0,1,0
59,1280.6722216778821,422.85604334557087,17.14035415649414,-1.0,1,0
60,1405.10043338765,844.7518425355413,79.16590118408203,32.86767578125,1,1
61,1401.0743448487601,783.9595132298156,69.87487030029297,52.664794921875,1,1
62,1397.3818525341126,728.2043537039843,60.470054626464844,63.15771484375,1,1
63,1393.983143857502,676.8852098036534,23.664857864379883,-210.6365966796875,1,0
64,1390.8444990257367,629.4929261160755,22.407062530517578,-1.0,1,0
65,1387.9371684602509,585.5933954847002,21.536645889282227,11.9407958984375,1,1
66,1385.236489595756,544.8142230215288,21.829586029052734,6.486572265625,1,1
67,1382.7211855479345,506.8341362692972,21.578121185302734,-17.615234375,1,0
68,1380.372803407661,471.3745036685325,21.2136173248291,-46.1767578125,1,0
69,1378.175260772409,438.19248736283424,20.98761749267578,-1.0,1,0
